;Nome;Endereco;Bairro;CNPJ;;;
1;AC MORAIS COMBUSTIVEIS LTDA;AVENIDA MARECHAL MASCARENHAS DE MORAIS, 898;IMBIRIBEIRA;22.493.813/0001-01;;;
2;CLEONICE MARIA SILVA SOBRAL;AVENIDA BEBERIBE, 4668;AGUA FRIA;24.388.803/0001-23;;;
3;GERALDO VIEIRA & CIA LTDA;AVENIDA CAXANGA, 4500;IPUTINGA;10.996.148/0001-81;;;
4;POSTO A. R. COMBUSTIVEL LTDA;PRAÇA VENACIO REZENDE, 10;AFOGADOS;01.832.098/0001-06;;;
5;POSTO JOCKEY COM. VAREJISTA DE COMBUSTIVEIS LTDA;AVENIDA ENGENHEIRO ABDIAS DE CARVALHO;PRADO;09.275.194/0001-02;;;
6;POSTO MADALENA COMERCIO DE COMBUSTIVEIS LTDA;AVENIDA VISCONDE DE ALBUQUERQUE, 964;MADALENA;10.545.374/0001-46;;;
7;POSTO MONTE AZUL LTDA;AVENIDA RECIFE, 2586;AREIAS;04.994.214/0001-81;;;
8;POSTO SAO SEBASTIAO LTDA;AVENIDA NORTE MIGUEL ARRAES DE ALLENCAR, 6717;CASA AMARELA;11.188.133/0001-50;;;
9;POSTO VERALI LTDA;AVENIDA CONSELHEIRO AGUIAR, 1540;BOA VIAGEM;00.875.134/0001-56;;;
10;REAL COMERCIO DE DERIVADOS DE PETROLEO LTDA;RUA DOM BOSCO, 1183;BOA VISTA;13.569.194/0001-92;;;
11;CADILAC PETROLEO LTDA;AVENIDA FERNANDO SIMOES BARBOSA, 406;BOA VIAGEM;13.225.399/0001-50;;;
12;D & C COMERCIO DE COMBUSTIVEIS LTDA;AVENIDA LIBERDADE , 1113;TEJIPIÓ;08.215.409/0001-37;;;
13;INVESTGAS LOCACAO E INVESTIMENTOS LIMITADA;RODOVIA BR-101 NORTE, S/N;CORREGO DO JENIPAPO;07.617.461/0001-57;;;
14;INVESTIGAS LOCACAO E INVESTIMENTOS LIMITADA-3;AVENIDA DA RECUPERACAO, S/N;GUABIRABA;07.617.461/0003-19;;;
15;MAXIMA COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA;AVENIDA ENGENHEIRO ABDIAS DE CARVALHO, 2716;PRADO;08.775.275/0001-09;;;
16;MENEZES COMBUSTIVEIS LTDA;AVENIDA DOIS RIOS, 601;IBURA;70.066.527/0001-02;;;
17;MT COMERCIO DE COMBUSTIVEIS LTDA;AVENIDA VISCONDE DE SAO LEOPOLDO, 257;ENGENHO DO MEIO;11.835.934/0001-60;;;
18;PENTAGAS LTDA;AVENIDA BEBERIBE, 2475;AGUA FRIA;04.318.257/0001-47;;;
19;PETROCAL BAIRRO DO RECIFE;AVENIDA ALFREDO LISBOA, 173;RECIFE ANTIGO;01.294.927/0001-44;;;
20;PETROCAL PETRÓLEO CAVALCANTI LTDA.;RODOVIA BR 101 SUL, S/N;CURADO;12.781.233/0011-20;;;
21;PETROCAL PETROLEO CAVALCANTI LTDA-09;RUA CONSELHEIRO NABUCO, 383;CASA AMARELA;12.781.233/0009-05;;;
22;PETROCAL-PETROLEO CAVALCANTI LTDA;AVENIDA MARECHAL MASCARENHAS DE MORAIS, 1854;IMBIRIBEIRA;12.781.233/0001-58;;;
23;PETROCAL-PETROLEO CAVALCANTI LTDA-4;AVENIDA ENGENHEIRO ABDIAS DE CARVALHO, 720;MADALENA;12.781.233/0004-09;;;
24;PETROVEL PETROLEO VELOSO LTDA-2;RUA DO BOM PASTOR, 27;IPUTINGA;01.294.927/0002-25;;;
25;POSTO ATENAS LTDA;AVENIDA RECIFE, 1644;AREIAS;02.331.341/0001-75;;;
26;POSTO CANCUN LTDA;RODOVIA PE-15, S/N;ARTHUR LUNDGREN - PAULISTA;01.912.250/0002-41;;;
27;POSTO CANCUN LTDA;ESTRADA DE BELEM, 736;CAMPO GRANDE;01.912.250/0003-22;;;
28;POSTO CAPRI COM DE PETROLEO LTDA;AV GENERAL SAN MARTIN, 525;CORDEIRO;07.733.200/0001-00;;;
29;POSTO CAPRI COMÉRCIO DE PETROLEO LTDA;AVENIDA GOVERNADOR CARLOS DE LIMA CAVALCANTE, 72;BAIRRO NOVO - OLINDA;07.733.200/0002-83;;;
30;POSTO CONCORDE LTDA;AVENIDA ENGENHEIRO DOMINGOS FERREIRA, 50;BOA VIAGEM;02.289.819/0001-46;;;
31;AFFONSO FERREIRA LTDA;RODOVIA BR-101 SUL, 1999;JARDIM SAO PAULO;05.112.178/0001-48;;;
32;CABANA COMERC. E DERIV. DE PETROL. LTDA;AVENIDA SUL, 1344;SÃO JOSÉ;12.473.918/0001-37;;;
33;CINTRA DA MOTA COMERCIO DE PETROLEO LTDA;RUA LEANDRO BARRETO;JARDIM SAO PAULO;04.039.241/0001-03;;;
34;E.C. MORAIS COMBUSTIVEIS LTDA;AVENIDA JOAO DE BARROS, 1454;ESPINHEIRO;05.603.563/0001-98;;;
35;ESTAÇÃO SERVIÇOS BOA VIAGEM LTDA;RUA BARÃO DE SOUZA LEÃO, 240;BOA VIAGEM;02.016.104/0001-10;;;
36;MC COMERCIO E DRIVADOS DE PETROLEO LTDA -ME;AVENIDA NORTE MIGUEL ARRAES DE ALENCAR, 4390;TAMARINEIRA;00.304.243/0001-13;;;
37;MF COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.;AVENIDA JOAQUIM RIBEIRO , 1345;VARZEA;09.164.912/0001-73;;;
38;ORGANIZACAO DE PETROLEO SHOPPING LTDA-2;RUA BARÃO DE SOUZA LEÃO, 1388;BOA VIAGEM;09.044.272/0002-49;;;
39;ORGANIZACAO DE PETROLEO SHOPPING LTDA-3;RUA RIBEIRO DE BRITO, 1034;BOA VIAGEM;09.044.272/0001-68;;;
40;POSTO ABASTECIMENTO SAO JOSE LTDA;RUA IMPERIAL, 457;SÃO JOSÉ;10.544.641/0001-60;;;
41;POSTO LEAO DA ILHA LTDA;AVENIDA DOUTOR JOSÉ RUFINO, 125;MADALENA;00.672.715/0001-90;;;
42;POSTO LEÃO DA ILHA LTDA.;AVENIDA ENGENHEIRO ABDIAS DE CARVALHO, 1055;ILHA DO RETIRO;00.672.715/0003-52;;;
43;POSTO PIATA LTDA;AVENIDA NORTE MIGUEL ARRAES DE ALENCAR, 3257;ROSARINHO;04.151.191/0001-43;;;
